diputado_id,Diputado,Provincia,Partido,OrientaciÃ³n,VOTO,EDAD,camara,año,RANGO_DE_EDAD,Genero
1,"Abdala De Matarazzo,  Norma Amanda",SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,Otros,NEGATIVO,61,diputadxs,2018,56-65,Femenino
2,"Acerenza., Samantha",BUENOS AIRES,PRO,Cambiemos,AFIRMATIVO,56,diputadxs,2018,56-65,Femenino
3,"Aicega,  Juan",BUENOS AIRES,PRO,Cambiemos,NEGATIVO,34,diputadxs,2018,25-35,Masculino
4,"Allende,  Walberto Enrique",SAN JUAN,TODOS JUNTOS POR SAN JUAN,PJ,NEGATIVO,44,diputadxs,2018,36-45,Masculino
5,"Alonso,  Laura Valeria",BUENOS AIRES,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,44,diputadxs,2018,36-45,Femenino
6,"Alume Sbodio,  Karim Augusto",SAN LUIS,UNIDAD JUSTICIALISTA,Otros,NEGATIVO,54,diputadxs,2018,46-55,Masculino
7,"Alvarez Rodriguez.,  Cristina",BUENOS AIRES,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,46,diputadxs,2018,46-55,Femenino
8,"Amadeo.,  Eduardo Pablo",BUENOS AIRES,PRO,Cambiemos,NEGATIVO,48,diputadxs,2018,46-55,Masculino
9,"Ansaloni,  Pablo Miguel",BUENOS AIRES,PRO,Cambiemos,NEGATIVO,41,diputadxs,2018,36-45,Masculino
10,"Arce,  Mario Horacio",FORMOSA,UNIÓN CÍVICA RADICAL,Cambiemos,NEGATIVO,39,diputadxs,2018,36-45,Masculino
11,"Arroyo,  Daniel Fernando",BUENOS AIRES,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Massismo y aliados,AFIRMATIVO,39,diputadxs,2018,36-45,Masculino
12,"Asencio,  Fernando",BUENOS AIRES,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Massismo y aliados,AFIRMATIVO,26,diputadxs,2018,25-35,Masculino
13,"Austin., Brenda",CÓRDOBA,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,34,diputadxs,2018,25-35,Femenino
14,"Ávila,  Beatriz Luisa",TUCUMÁN,PARTIDO POR LA JUSTICIA SOCIAL,Cambiemos,NEGATIVO,72,diputadxs,2018,66-75,Femenino
15,"Ayala,  Aida Beatriz Máxima",CHACO,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,42,diputadxs,2018,36-45,Femenino
16,"Bahillo, Juan José",ENTRE RÍOS,JUSTICIALISTA,PJ,AFIRMATIVO,43,diputadxs,2018,36-45,Masculino
17,"Baldassi,  Héctor",CÓRDOBA,PRO,Cambiemos,NEGATIVO,50,diputadxs,2018,46-55,Masculino
18,"Banfi., Karina Verónica",BUENOS AIRES,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,40,diputadxs,2018,36-45,Femenino
19,"Basterra,  Luis Eugenio",FORMOSA,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,53,diputadxs,2018,46-55,Masculino
20,"Bazze,  Miguel Ángel",BUENOS AIRES,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,35,diputadxs,2018,25-35,Masculino
21,"Benedetti,  Atilio Francisco Salvador",ENTRE RÍOS,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,50,diputadxs,2018,46-55,Masculino
22,"Berisso,  Hernán",BUENOS AIRES,PRO,Cambiemos,NEGATIVO,51,diputadxs,2018,46-55,Masculino
23,"Bevilacqua., Gustavo",BUENOS AIRES,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Massismo y aliados,NEGATIVO,70,diputadxs,2018,66-75,Masculino
24,"Bianchi,  Ivana María",SAN LUIS,UNIDAD JUSTICIALISTA,Kirchnerismo y aliados,NEGATIVO,35,diputadxs,2018,25-35,Femenino
25,"Borsani.,  Luis Gustavo",MENDOZA,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,49,diputadxs,2018,46-55,Masculino
26,"Bossio., Diego",BUENOS AIRES,JUSTICIALISTA,PJ,NEGATIVO,52,diputadxs,2018,46-55,Masculino
27,"Bragagnolo,  Sebastián",MENDOZA,PRO,Cambiemos,NEGATIVO,39,diputadxs,2018,36-45,Masculino
28,"Brambilla,  Sofía",CORRIENTES,PRO,Cambiemos,AFIRMATIVO,36,diputadxs,2018,36-45,Femenino
29,"Britez., María Cristina",MISIONES,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,73,diputadxs,2018,66-75,Masculino
30,"Brizuela Del Moral,  Eduardo Segundo",CATAMARCA,FTE. CÍVICO Y SOCIAL DE CATAMARCA,Cambiemos,NEGATIVO,51,diputadxs,2018,46-55,Masculino
31,"Brügge., Juan",CÓRDOBA,CÓRDOBA FEDERAL,PJ,NEGATIVO,67,diputadxs,2018,66-75,Masculino
32,"Bucca,  Eduardo",BUENOS AIRES,JUSTICIALISTA,PJ,AFIRMATIVO,65,diputadxs,2018,56-65,Masculino
33,"Buil., Sergio Omar",BUENOS AIRES,PRO,Cambiemos,AFIRMATIVO,65,diputadxs,2018,56-65,Masculino
