diputado_id,Diputado,Provincia,Partido,Orientación,Voto,ley_id,Nombre Ley,Fecha,Acta votación,Texto Ley
853,"Monzó., Emilio",BUENOS AIRES,PRO,Cambiemos,,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
1307,"Vigo,  Alejandra María",CÓRDOBA,CÓRDOBA FEDERAL,PJ ,ABSTENCION,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
1279,"Najul,  Claudia Inés",MENDOZA,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
797,"Masín., María Lucila",CHACO,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
878,"Martínez., Silvia Alejandra",JUJUY,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
1267,"Martínez,  Darío",NEUQUÉN,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
876,"Marcucci., Hugo María",SANTA FE,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
1265,"Macha,  Mónica",BUENOS AIRES,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
590,"Lousteau,  Martín",CDAD. AUT. BS. AS.,EVOLUCIÓN RADICAL,Otros,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
848,"Lospennato., Silvia",BUENOS AIRES,PRO,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
1264,"López,  Juan Manuel",C.A.B.A.,COALICIÓN CÍVICA,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
1268,"Matzen,  Lorena",RIO NEGRO,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
1271,"Mendoza,  Josefina",BUENOS AIRES,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
687,"Moyano,  Facundo",BUENOS AIRES,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Massismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
1276,"Moreau,  Leopoldo Raúl Guido",BUENOS AIRES,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
826,"Moreau., Cecilia",BUENOS AIRES,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Massismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
382,"Moises,  María Carolina",JUJUY,JUSTICIALISTA,Massismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
799,"Miranda., Pedro Rubén",MENDOZA,JUSTICIALISTA,PJ ,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
798,"Mercado., Verónica",CATAMARCA,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
1272,"Menna,  Gustavo",CHUBUT,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
371,"Mendoza,  Mayra Soledad",BUENOS AIRES,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
849,"López Koenig., Leandro",NEUQUÉN,PRO,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
847,"Lipovetzky., Daniel",BUENOS AIRES,PRO,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
789,"Guerín., María Isabel",BUENOS AIRES,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
274,"Grosso.,  Leonardo",BUENOS AIRES,PERONISMO PARA LA VICTORIA,PJ ,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
788,"Grana., Adrián",BUENOS AIRES,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
653,"González,  Josefina Victoria",SANTA FE,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
1207,"Gonzáles Seligra,  Nathalia",BUENOS AIRES,PTS - FRENTE DE IZQUIERDA,Izquierda,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
843,"Gayol., Yanina Celeste",ENTRE RÍOS,PRO,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
787,"Garré., Nilda",CDAD. AUT. BS. AS.,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
1255,"Garcia,  Alejandro",C.A.B.A.,PRO,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
769,"Herrera., Luis Beder",LA RIOJA,JUSTICIALISTA,PJ ,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
840,"Hers Cabral., Anabella Ruth",CDAD. AUT. BS. AS.,PRO,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
790,"Horne., Silvia Reneé",RIO NEGRO,PERONISMO PARA LA VICTORIA,PJ ,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
316,"Larroque,  Andrés",CDAD. AUT. BS. AS.,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
1260,"Lacoste,  Jorge Enrique",ENTRE RÍOS,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
311,"Kroneberger,  Daniel Ricardo",LA PAMPA,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
794,"Kirchner., Máximo",SANTA CRUZ,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
793,"Kicillof., Axel",CDAD. AUT. BS. AS.,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
792,"Igon., Santiago",CHUBUT,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
293,"Iglesias,  Fernando Adolfo",CDAD. AUT. BS. AS.,PRO,Cambiemos,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
791,"Huss., Juan Manuel",ENTRE RÍOS,FRENTE PARA LA VICTORIA,Kirchnerismo y aliados,AFIRMATIVO,1708,Legalización del aborto,14/06/2018,https://votaciones.hcdn.gob.ar/3805.pdf,
