diputado_id,Diputado,Provincia,Partido,Orientación,Voto,ley_id,Nombre Ley,Fecha,Acta votación,Texto Ley
808,"Snopek., Guillermo",JUJUY,,Kirchnerismo/PJ,,2198,Legalización del aborto,29/12/2020,,
512,"Sapag,  Silvia Estela",NEUQUÉN,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
1455,"Recalde,  Mariano",,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
910,"Durango., Norma",LA PAMPA,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
782,"Doñate., Claudio Martín ",RIO NEGRO,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
446,"Pilatti Vergara.,  María Inés",CHACO,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
1449,"Kueider,  Edgardo Dario",,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
935,"Petcoff Naidenoff., Luis Carlos",FORMOSA,,Cambiemos,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
920,"Crexell., Carmen Lucila",NEUQUÉN,,Otros,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
1454,"Parrilli,  Oscar Isidro",,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
156,"Costa,  Eduardo Raúl",SANTA CRUZ,,Cambiemos,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
1447,"Duré,  María Eugenia",,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
290,"Ianni,  Ana María",SANTA CRUZ,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
1448,"Gimenez,  Nora Del Valle",,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
898,"Sacnun., Ángeles",SANTA FE,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
266,"González,  Gladys Esther",BUENOS AIRES,,Cambiemos,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
1323,"Schiavoni,  Humberto",MISIONES,,Cambiemos,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
238,"Garcia Larraburu.,  Silvina Marcela",RIO NEGRO,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
805,"Rodríguez., Matías",TIERRA DEL FUEGO,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
211,"Fernández Sagasti.,  Anabel",MENDOZA,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
949,"Rodríguez Machado., Laura Elena",CÓRDOBA,,Cambiemos,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
270,"Gonzalez.,  Nancy Susana",CHUBUT,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
421,"Pais.,  Juan Mario",CHUBUT,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
1458,"Taiana,  Jorge Enrique",,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
894,"Almirón., Ana Claudia",CORRIENTES,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
1314,"Catalfamo,  Eugenia",SAN LUIS,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
590,"Lousteau,  Martín",CDAD. AUT. BS. AS.,,Cambiemos,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
945,"Verasay., Pamela Fernanda",MENDOZA,,Cambiemos,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
946,"Lovera., Daniel Aníbal	",LA PAMPA,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
1459,"Weretilneck,  Alberto",,,Otros,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
947,"Luenzo., Alfredo Héctor",CHUBUT,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
362,"Martínez.,  Ernesto Félix",CÓRDOBA,,Cambiemos,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
1451,"Mirabella,  Roberto Mario",,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
125,"Caserio.,  Carlos Alberto",CÓRDOBA,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
1453,"Olalla De Moreira,  Stella Maris",,,Cambiemos,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
1261,"Leavy,  Sergio Napoleón",SALTA,,Kirchnerismo/PJ,AFIRMATIVO,2198,Legalización del aborto,29/12/2020,,
